id,name,normalized_name,created_at,updated_at
65,PAWN SHOP,pawn shop,2016-09-29 15:24:28.80727,2016-09-29 15:24:28.80727
66,Family Therapy Center,family therapy center,2016-09-29 15:24:28.852009,2016-09-29 15:24:28.852009
67,Dr. Monroe's Office,dr monroe office,2016-09-29 15:24:28.926603,2016-09-29 15:24:28.926603
68,DR. MONROE'S LABORATORY,dr monroe laboratory,2016-09-29 15:24:29.104738,2016-09-29 15:24:29.104738
69,Waiting Room,waiting room,2016-09-29 15:24:29.242123,2016-09-29 15:24:29.242123
70,STREET NEIGHBOR #2'S HOUSE,street neighbor 2 house,2016-09-29 15:24:29.256168,2016-09-29 15:24:29.256168
71,School Bus,school bus,2016-09-29 15:24:29.741978,2016-09-29 15:24:29.741978
72,NEAR SCHOOL ENTRANCE,near school entrance,2016-09-29 15:24:29.910161,2016-09-29 15:24:29.910161
73,PLAYGROUND,playground,2016-09-29 15:24:30.069145,2016-09-29 15:24:30.069145
74,ROOM,room,2016-09-29 15:24:30.083539,2016-09-29 15:24:30.083539
75,STAIRCASE,staircase,2016-09-29 15:24:30.091876,2016-09-29 15:24:30.091876
76,Springfield Elementary School Hallway,springfield elementary school hallway,2016-09-29 15:24:30.126811,2016-09-29 15:24:30.126811
77,Springfield Elementary School Cafeteria,springfield elementary school cafeteria,2016-09-29 15:24:30.148164,2016-09-29 15:24:30.148164
78,MORTUARY,mortuary,2016-09-29 15:24:30.218628,2016-09-29 15:24:30.218628
79,Springfield Retirement Castle,springfield retirement castle,2016-09-29 15:24:30.71963,2016-09-29 15:24:30.71963
80,Grampa's Room at Springfield Retirement Castle ,grampa room at springfield retirement castle,2016-09-29 15:24:30.765309,2016-09-29 15:24:30.765309
81,Outside Herman's Military Antiques,outside herman military antiques,2016-09-29 15:24:30.923035,2016-09-29 15:24:30.923035
82,Herman's Military Antiques,herman military antiques,2016-09-29 15:24:30.967629,2016-09-29 15:24:30.967629
83,Bart's Class In School,bart class in school,2016-09-29 15:24:31.079914,2016-09-29 15:24:31.079914
84,Bart's Treehouse,bart treehouse,2016-09-29 15:24:31.094503,2016-09-29 15:24:31.094503
85,CITY PARK,city park,2016-09-29 15:24:31.15457,2016-09-29 15:24:31.15457
86,ANOTHER NEIGHBORHOOD STREET,another neighborhood street,2016-09-29 15:24:31.195751,2016-09-29 15:24:31.195751
87,NEIGHBORHOOD STREET,neighborhood street,2016-09-29 15:24:31.249723,2016-09-29 15:24:31.249723
88,PARADING DOWN ELM STREET,parading down elm street,2016-09-29 15:24:31.678123,2016-09-29 15:24:31.678123
89,Base Of Tree Below Bart's Treehouse,base of tree below bart treehouse,2016-09-29 15:24:31.696755,2016-09-29 15:24:31.696755
90,Springfield Library,springfield library,2016-09-29 15:24:31.823184,2016-09-29 15:24:31.823184
91,Simpson Bathroom,simpson bathroom,2016-09-29 15:24:32.003286,2016-09-29 15:24:32.003286
92,Bathroom,bathroom,2016-09-29 15:24:32.028423,2016-09-29 15:24:32.028423
93,DEN,den,2016-09-29 15:24:32.093247,2016-09-29 15:24:32.093247
94,FOYER,foyer,2016-09-29 15:24:32.145379,2016-09-29 15:24:32.145379
95,Music Class,music class,2016-09-29 15:24:32.231298,2016-09-29 15:24:32.231298
96,LUNCHROOM,lunchroom,2016-09-29 15:24:32.321665,2016-09-29 15:24:32.321665
97,EXERCISE ROOM,exercise room,2016-09-29 15:24:32.369168,2016-09-29 15:24:32.369168
98,Lisa's Bedroom,lisa bedroom,2016-09-29 15:24:32.739213,2016-09-29 15:24:32.739213
99,Bridge,bridge,2016-09-29 15:24:32.798041,2016-09-29 15:24:32.798041
100,Simpson Master Bedroom,simpson master bedroom,2016-09-29 15:24:32.837325,2016-09-29 15:24:32.837325
101,Noiseland Arcade,noiseland arcade,2016-09-29 15:24:33.362195,2016-09-29 15:24:33.362195
102,Marge's Car,marge car,2016-09-29 15:24:33.558942,2016-09-29 15:24:33.558942
103,Springfield Elementary School Yard,springfield elementary school yard,2016-09-29 15:24:33.606745,2016-09-29 15:24:33.606745
104,JAZZ HOLE NIGHTCLUB,jazz hole nightclub,2016-09-29 15:24:33.841928,2016-09-29 15:24:33.841928
105,Simpson Front Yard,simpson front yard,2016-09-29 15:24:34.007751,2016-09-29 15:24:34.007751
106,Bob's RV Round-Up (Formerly RVs Я Us),bob rv round-up,2016-09-29 15:24:34.11445,2016-09-29 15:24:34.11445
107,INSIDE THE ULTIMATE BEHEMOTH,inside the ultimate behemoth,2016-09-29 15:24:34.234289,2016-09-29 15:24:34.234289
108,INSIDE CREDIT OFFICE,inside credit office,2016-09-29 15:24:34.333691,2016-09-29 15:24:34.333691
109,BACK OF THE RV LOT,back of the rv lot,2016-09-29 15:24:34.393958,2016-09-29 15:24:34.393958
110,Freeway,freeway,2016-09-29 15:24:34.703929,2016-09-29 15:24:34.703929
111,A NARROW DIRT ROAD,a narrow dirt road,2016-09-29 15:24:34.834539,2016-09-29 15:24:34.834539
112,Van,van,2016-09-29 15:24:34.845175,2016-09-29 15:24:34.845175
113,OVERHEAD SHOT OF VAN,overhead shot of van,2016-09-29 15:24:34.90954,2016-09-29 15:24:34.90954
114,NEAR THE EDGE OF CLIFF,near the edge of cliff,2016-09-29 15:24:34.97844,2016-09-29 15:24:34.97844
115,Marge and Lisa's Campsite,marge and lisa campsite,2016-09-29 15:24:35.078062,2016-09-29 15:24:35.078062
116,DEEP WOODS,deep woods,2016-09-29 15:24:35.21342,2016-09-29 15:24:35.21342
117,The Girls' Campsite,the girls campsite,2016-09-29 15:24:35.257935,2016-09-29 15:24:35.257935
118,THE WOODS,the woods,2016-09-29 15:24:35.271637,2016-09-29 15:24:35.271637
119,BASE OF WATERFALL,base of waterfall,2016-09-29 15:24:35.278808,2016-09-29 15:24:35.278808
120,BEAR CAVE,bear cave,2016-09-29 15:24:35.33941,2016-09-29 15:24:35.33941
121,SOMEWHERE IN WOODS,somewhere in woods,2016-09-29 15:24:35.346683,2016-09-29 15:24:35.346683
122,Forest,forest,2016-09-29 15:24:35.416577,2016-09-29 15:24:35.416577
123,A CAMPGROUND NEAR THE BEAR CAVE,a campground near the bear cave,2016-09-29 15:24:35.446179,2016-09-29 15:24:35.446179
124,A CLEARING IN THE WOODS,a clearing in the woods,2016-09-29 15:24:35.524731,2016-09-29 15:24:35.524731
125,THE DEEP WOODS,the deep woods,2016-09-29 15:24:35.553706,2016-09-29 15:24:35.553706
126,CREEK,creek,2016-09-29 15:24:35.635136,2016-09-29 15:24:35.635136
127,ALONG THE INTERSTATE,along the interstate,2016-09-29 15:24:35.690468,2016-09-29 15:24:35.690468
128,OUTSIDE THE BEAR CAVE,outside the bear cave,2016-09-29 15:24:35.784216,2016-09-29 15:24:35.784216
129,SCIENCE LABORATORY,science laboratory,2016-09-29 15:24:35.917665,2016-09-29 15:24:35.917665
130,Streets,streets,2016-09-29 15:24:36.174685,2016-09-29 15:24:36.174685
131,First Church of Springfield,first church of springfield,2016-09-29 15:24:36.719927,2016-09-29 15:24:36.719927
132,Sunday School Classroom,sunday school classroom,2016-09-29 15:24:36.810538,2016-09-29 15:24:36.810538
133,House,house,2016-09-29 15:24:37.195686,2016-09-29 15:24:37.195686
134,Movie Theatre,movie theatre,2016-09-29 15:24:37.243915,2016-09-29 15:24:37.243915
135,Theatre,theatre,2016-09-29 15:24:37.397166,2016-09-29 15:24:37.397166
136,Kwik-E-Mart,kwik-e-mart,2016-09-29 15:24:37.482413,2016-09-29 15:24:37.482413
137,Hallway,hallway,2016-09-29 15:24:37.812244,2016-09-29 15:24:37.812244
138,Various Street Locations,various street locations,2016-09-29 15:24:37.824281,2016-09-29 15:24:37.824281
139,Old Folk's Home,old folk home,2016-09-29 15:24:37.991395,2016-09-29 15:24:37.991395
140,Simpson Kitchen,simpson kitchen,2016-09-29 15:24:38.65623,2016-09-29 15:24:38.65623
141,"GIRDLES 'N' SUCH, FANCY LINGERIE",girdles n such fancy lingerie,2016-09-29 15:24:38.907019,2016-09-29 15:24:38.907019
142,THE JOCK SHOPPE,the jock shoppe,2016-09-29 15:24:38.978861,2016-09-29 15:24:38.978861
143,The Singing Sirloin,the singing sirloin,2016-09-29 15:24:39.08109,2016-09-29 15:24:39.08109
144,Barney's Bowlarama,barney bowlarama,2016-09-29 15:24:39.406502,2016-09-29 15:24:39.406502
145,Maggie's Bedroom,maggie bedroom,2016-09-29 15:24:39.973821,2016-09-29 15:24:39.973821
146,Simpson Foyer,simpson foyer,2016-09-29 15:24:40.177585,2016-09-29 15:24:40.177585
147,Coffee Shop,coffee shop,2016-09-29 15:24:40.314761,2016-09-29 15:24:40.314761
148,YARD,yard,2016-09-29 15:24:40.627247,2016-09-29 15:24:40.627247
149,Jacques's Apartment,jacques apartment,2016-09-29 15:24:40.749008,2016-09-29 15:24:40.749008
150,LUNCHROOM AT THE POWER PLANT,lunchroom at the power plant,2016-09-29 15:24:40.772117,2016-09-29 15:24:40.772117
151,Simpson Car,simpson car,2016-09-29 15:24:40.819605,2016-09-29 15:24:40.819605
152,PUBLIC MAILBOX,public mailbox,2016-09-29 15:24:41.191049,2016-09-29 15:24:41.191049
153,Master Bathroom,master bathroom,2016-09-29 15:24:41.203549,2016-09-29 15:24:41.203549
154,PARTY ROOM,party room,2016-09-29 15:24:41.439124,2016-09-29 15:24:41.439124
155,The Rusty Barnacle,the rusty barnacle,2016-09-29 15:24:41.507651,2016-09-29 15:24:41.507651
156,Springfield Elementary School Library,springfield elementary school library,2016-09-29 15:24:41.909043,2016-09-29 15:24:41.909043
157,LIBRARY NEAR XEROX MACHINE,library near xerox machine,2016-09-29 15:24:41.967593,2016-09-29 15:24:41.967593
158,LEWIS' HOUSE,lewis house,2016-09-29 15:24:41.975205,2016-09-29 15:24:41.975205
159,EXECUTIVE OFFICE,executive office,2016-09-29 15:24:42.003931,2016-09-29 15:24:42.003931
160,Rev. Lovejoy's Study,rev lovejoy study,2016-09-29 15:24:42.022755,2016-09-29 15:24:42.022755
161,AEROBIC STUDIO,aerobic studio,2016-09-29 15:24:42.078422,2016-09-29 15:24:42.078422
162,QUICK-E-MART,quick-e-mart,2016-09-29 15:24:42.094537,2016-09-29 15:24:42.094537
163,Kwik-E-Mart Parking Lot,kwik-e-mart parking lot,2016-09-29 15:24:42.180974,2016-09-29 15:24:42.180974
164,INTERSECTION,intersection,2016-09-29 15:24:42.206715,2016-09-29 15:24:42.206715
165,Barney's Apartment,barney apartment,2016-09-29 15:24:42.430594,2016-09-29 15:24:42.430594
166,Florence of Arabia,florence of arabia,2016-09-29 15:24:42.747011,2016-09-29 15:24:42.747011
167,Girlesque,girlesque,2016-09-29 15:24:42.770174,2016-09-29 15:24:42.770174
168,Foxy Boxing,foxy boxing,2016-09-29 15:24:42.791844,2016-09-29 15:24:42.791844
169,Club Mud,club mud,2016-09-29 15:24:42.821582,2016-09-29 15:24:42.821582
170,Ye Olde Off-Ramp Inn,ye olde off-ramp inn,2016-09-29 15:24:42.835883,2016-09-29 15:24:42.835883
171,Sapphire Lounge,sapphire lounge,2016-09-29 15:24:42.843799,2016-09-29 15:24:42.843799
172,UPSTAIRS HALLWAY,upstairs hallway,2016-09-29 15:24:43.374067,2016-09-29 15:24:43.374067
173,DOWNSTAIRS HALLWAY,downstairs hallway,2016-09-29 15:24:43.494998,2016-09-29 15:24:43.494998
174,Boys' Bathroom,boys bathroom,2016-09-29 15:24:43.800153,2016-09-29 15:24:43.800153
175,Girls' Bathroom,girls bathroom,2016-09-29 15:24:43.897933,2016-09-29 15:24:43.897933
176,Springfield Airport,springfield airport,2016-09-29 15:24:44.281506,2016-09-29 15:24:44.281506
177,CHARTER FLIGHT,charter flight,2016-09-29 15:24:44.429126,2016-09-29 15:24:44.429126
178,"TIRANA, ALBANIA AIRPORT",tirana albania airport,2016-09-29 15:24:44.44469,2016-09-29 15:24:44.44469
179,FRENCH COUNTRYSIDE,french countryside,2016-09-29 15:24:44.517636,2016-09-29 15:24:44.517636
180,Chateau Maison,chateau maison,2016-09-29 15:24:44.622529,2016-09-29 15:24:44.622529
181,FRENCH MOUNTAINSIDE,french mountainside,2016-09-29 15:24:44.748733,2016-09-29 15:24:44.748733
182,VINEYARDS,vineyards,2016-09-29 15:24:45.020549,2016-09-29 15:24:45.020549
183,PLUTONIUM ISOLATION MODULE,plutonium isolation module,2016-09-29 15:24:45.133302,2016-09-29 15:24:45.133302
184,Albanian Intelligence Headquarters,albanian intelligence headquarters,2016-09-29 15:24:45.22729,2016-09-29 15:24:45.22729
185,WINERY,winery,2016-09-29 15:24:45.292263,2016-09-29 15:24:45.292263
186,Country Road,country road,2016-09-29 15:24:45.421985,2016-09-29 15:24:45.421985
187,Town,town,2016-09-29 15:24:45.429569,2016-09-29 15:24:45.429569
188,Flanders Home,flanders home,2016-09-29 15:24:45.55509,2016-09-29 15:24:45.55509
189,SIDEWALK CAFE,sidewalk cafe,2016-09-29 15:24:45.68699,2016-09-29 15:24:45.68699
190,TV Studio,tv studio,2016-09-29 15:24:45.996809,2016-09-29 15:24:45.996809
191,Krusty's Apartment,krusty apartment,2016-09-29 15:24:46.405164,2016-09-29 15:24:46.405164
192,Springfield Police Station,springfield police station,2016-09-29 15:24:46.438745,2016-09-29 15:24:46.438745
193,Springfield Courthouse Steps,springfield courthouse steps,2016-09-29 15:24:46.817121,2016-09-29 15:24:46.817121
194,Courtroom,courtroom,2016-09-29 15:24:46.887459,2016-09-29 15:24:46.887459
195,Springfield High School Football Field,springfield high school football field,2016-09-29 15:24:47.024023,2016-09-29 15:24:47.024023
196,Sideshow Bob's Dressing Room,sideshow bob dressing room,2016-09-29 15:24:47.404889,2016-09-29 15:24:47.404889
197,TELEVISION STATION,television station,2016-09-29 15:24:47.714168,2016-09-29 15:24:47.714168
198,Jailhouse,jailhouse,2016-09-29 15:24:47.741286,2016-09-29 15:24:47.741286
199,Radio Station,radio station,2016-09-29 15:24:48.093175,2016-09-29 15:24:48.093175
200,Howard's Flowers,howard flowers,2016-09-29 15:24:48.499811,2016-09-29 15:24:48.499811
201,RUBBER BABY BUGGY BUMPER BABYSITTING SERVICE,rubber baby buggy bumper babysitting service,2016-09-29 15:24:48.751947,2016-09-29 15:24:48.751947
202,Chez Pierre Restaurant,chez pierre restaurant,2016-09-29 15:24:49.067836,2016-09-29 15:24:49.067836
203,Restaurant,restaurant,2016-09-29 15:24:49.221158,2016-09-29 15:24:49.221158
204,Motel Room,motel room,2016-09-29 15:24:49.497422,2016-09-29 15:24:49.497422
205,Ye Olde Off-Ramp Inn Motel Room,ye olde off-ramp inn motel room,2016-09-29 15:24:49.712913,2016-09-29 15:24:49.712913
206,PUBLIC PAY PHONE,public pay phone,2016-09-29 15:24:49.773541,2016-09-29 15:24:49.773541
207,INFIRMARY,infirmary,2016-09-29 15:24:51.918894,2016-09-29 15:24:51.918894
208,OUTSIDE BART'S WINDOW,outside bart window,2016-09-29 15:24:53.033605,2016-09-29 15:24:53.033605
209,Springfield County,springfield county,2016-09-29 15:24:53.181918,2016-09-29 15:24:53.181918
210,Simpson Hallway,simpson hallway,2016-09-29 15:24:53.197974,2016-09-29 15:24:53.197974
211,NEIGHBORHOOD,neighborhood,2016-09-29 15:24:53.2514,2016-09-29 15:24:53.2514
212,"CONTINENTAL CONGRESS, PHILADELPHIA",continental congress philadelphia,2016-09-29 15:24:53.344992,2016-09-29 15:24:53.344992
213,Simpson Basement,simpson basement,2016-09-29 15:24:53.439833,2016-09-29 15:24:53.439833
214,SNOWY STREET,snowy street,2016-09-29 15:24:53.626565,2016-09-29 15:24:53.626565
215,WINFIELD'S HOUSE,winfield house,2016-09-29 15:24:54.150974,2016-09-29 15:24:54.150974
216,Springfield,springfield,2016-09-29 15:24:54.173971,2016-09-29 15:24:54.173971
217,Jake's Unisex Hair Palace,jake unisex hair palace,2016-09-29 15:24:54.245372,2016-09-29 15:24:54.245372
218,Karl's Elegant Apartment,karl elegant apartment,2016-09-29 15:24:54.706474,2016-09-29 15:24:54.706474
219,"HUGE OLD HOUSE LIKE IN ""THE SHINING""",huge old house like in the shining,2016-09-29 15:24:56.044882,2016-09-29 15:24:56.044882
220,Living Room Of House,living room of house,2016-09-29 15:24:56.06135,2016-09-29 15:24:56.06135
221,Spacecraft,spacecraft,2016-09-29 15:24:56.943488,2016-09-29 15:24:56.943488
222,Space Ship,space ship,2016-09-29 15:24:57.278421,2016-09-29 15:24:57.278421
223,SPACESHIP GALLEY,spaceship galley,2016-09-29 15:24:57.297411,2016-09-29 15:24:57.297411
224,CHAMBER,chamber,2016-09-29 15:24:57.552631,2016-09-29 15:24:57.552631
225,Marge & Homer's Room,marge homer room,2016-09-29 15:24:58.095026,2016-09-29 15:24:58.095026
226,SUNNY SKY,sunny sky,2016-09-29 15:24:58.261119,2016-09-29 15:24:58.261119
227,SECURITY CLEARANCE BOOTH AT POWER PLANT,security clearance booth at power plant,2016-09-29 15:24:58.431009,2016-09-29 15:24:58.431009
228,COOLING TOWER,cooling tower,2016-09-29 15:24:58.486113,2016-09-29 15:24:58.486113
229,Other Part of Nuclear Plant,other part of nuclear plant,2016-09-29 15:24:58.550278,2016-09-29 15:24:58.550278
230,ROLLS ROYCE,rolls royce,2016-09-29 15:24:58.69393,2016-09-29 15:24:58.69393
231,Studio,studio,2016-09-29 15:24:59.215614,2016-09-29 15:24:59.215614
232,STADIUM,stadium,2016-09-29 15:25:00.234936,2016-09-29 15:25:00.234936
233,BALL PARK,ball park,2016-09-29 15:25:00.505092,2016-09-29 15:25:00.505092
234,PRESS BOX,press box,2016-09-29 15:25:00.652404,2016-09-29 15:25:00.652404
235,Parking Lot,parking lot,2016-09-29 15:25:01.082712,2016-09-29 15:25:01.082712
236,BALLPARK,ballpark,2016-09-29 15:25:01.331353,2016-09-29 15:25:01.331353
237,OWNER'S OFFICE,owner office,2016-09-29 15:25:01.360151,2016-09-29 15:25:01.360151
238,Highway,highway,2016-09-29 15:25:01.831607,2016-09-29 15:25:01.831607
239,Capital City,capital city,2016-09-29 15:25:01.843782,2016-09-29 15:25:01.843782
240,Hotel Room,hotel room,2016-09-29 15:25:02.065942,2016-09-29 15:25:02.065942
241,Capital City Cap Dome,capital city cap dome,2016-09-29 15:25:02.10456,2016-09-29 15:25:02.10456
242,CAP CITY DOME,cap city dome,2016-09-29 15:25:02.13258,2016-09-29 15:25:02.13258
243,Locker Room,locker room,2016-09-29 15:25:02.162449,2016-09-29 15:25:02.162449
244,CAP DOME,cap dome,2016-09-29 15:25:02.227074,2016-09-29 15:25:02.227074
245,Lovejoy Bedroom,lovejoy bedroom,2016-09-29 15:25:03.389997,2016-09-29 15:25:03.389997
246,Family Fun Center,family fun center,2016-09-29 15:25:03.603105,2016-09-29 15:25:03.603105
247,MINIATURE GOLF COURSE,miniature golf course,2016-09-29 15:25:03.612517,2016-09-29 15:25:03.612517
248,Library,library,2016-09-29 15:25:04.041954,2016-09-29 15:25:04.041954
249,LIBRARY STACKS,library stacks,2016-09-29 15:25:04.106189,2016-09-29 15:25:04.106189
250,Lake Springfield,lake springfield,2016-09-29 15:25:04.140369,2016-09-29 15:25:04.140369
251,TOP OF MOUNT SPRINGFIELD,top of mount springfield,2016-09-29 15:25:04.231267,2016-09-29 15:25:04.231267
252,MINIATURE GOLF,miniature golf,2016-09-29 15:25:04.855557,2016-09-29 15:25:04.855557
253,SIMPSON AND FLANDERS HOUSES,simpson and flanders houses,2016-09-29 15:25:05.048354,2016-09-29 15:25:05.048354
254,RICH NEIGHBORHOOD,rich neighborhood,2016-09-29 15:25:06.301333,2016-09-29 15:25:06.301333
255,SKID ROW,skid row,2016-09-29 15:25:06.321303,2016-09-29 15:25:06.321303
256,Springfield Plasma Center,springfield plasma center,2016-09-29 15:25:06.329177,2016-09-29 15:25:06.329177
257,PLASMA CENTER,plasma center,2016-09-29 15:25:06.34223,2016-09-29 15:25:06.34223
258,RESCUE MISSION,rescue mission,2016-09-29 15:25:06.455429,2016-09-29 15:25:06.455429
259,MISSION,mission,2016-09-29 15:25:06.596804,2016-09-29 15:25:06.596804
260,Dining Room,dining room,2016-09-29 15:25:07.614469,2016-09-29 15:25:07.614469
261,Springfield Speedway,springfield speedway,2016-09-29 15:25:07.809617,2016-09-29 15:25:07.809617
262,SPEEDWAY,speedway,2016-09-29 15:25:07.869708,2016-09-29 15:25:07.869708
263,SPEEDWAY STANDS,speedway stands,2016-09-29 15:25:07.926066,2016-09-29 15:25:07.926066
264,Springfield General Hospital,springfield general hospital,2016-09-29 15:25:08.146065,2016-09-29 15:25:08.146065
265,EMERGENCY WAITING AREA,emergency waiting area,2016-09-29 15:25:08.1547,2016-09-29 15:25:08.1547
266,HOSPITAL CORRIDOR,hospital corridor,2016-09-29 15:25:08.225391,2016-09-29 15:25:08.225391
267,HOSPITAL WARD,hospital ward,2016-09-29 15:25:08.241171,2016-09-29 15:25:08.241171
268,MARTIN PRINCE'S BACK YARD,martin prince back yard,2016-09-29 15:25:08.31421,2016-09-29 15:25:08.31421
269,Sidewalk,sidewalk,2016-09-29 15:25:08.321788,2016-09-29 15:25:08.321788
270,Springfield Street,springfield street,2016-09-29 15:25:08.348305,2016-09-29 15:25:08.348305
271,Springfield Gorge,springfield gorge,2016-09-29 15:25:08.383858,2016-09-29 15:25:08.383858
272,SPRINGFIELD HOSPITAL HALLWAY,springfield hospital hallway,2016-09-29 15:25:08.495904,2016-09-29 15:25:08.495904
273,GARAGE,garage,2016-09-29 15:25:09.208809,2016-09-29 15:25:09.208809
