episode_id,character_id,location_id,raw_character_text,raw_location_text
2272,9,5,Lisa Simpson,Simpson Home
2273,5734,6,Fbi Supervisor,KITCHEN
2278,5816,2117,Willis,COTTAGE
2266,38,3431,Martin Prince,Nelson's Trailer
2265,139,48,Krusty the Clown,Springfield Town Hall
2265,2,5,Homer Simpson,Simpson Home
2265,9,5,Lisa Simpson,Simpson Home
2265,2,5,Homer Simpson,Simpson Home
2265,1605,5,Database,Simpson Home
2265,5661,5,Nobel Academy President,Simpson Home
2265,5661,5,Nobel Academy President,Simpson Home
2265,38,5,Martin Prince,Simpson Home
2265,2,5,Homer Simpson,Simpson Home
2265,9,5,Lisa Simpson,Simpson Home
2265,2,5,Homer Simpson,Simpson Home
2265,5661,5,Nobel Academy President,Simpson Home
2265,9,5,Lisa Simpson,Simpson Home
2265,5661,5,Nobel Academy President,Simpson Home
2265,9,5,Lisa Simpson,Simpson Home
2265,2,5,Homer Simpson,Simpson Home
2265,211,48,Kent Brockman,Springfield Town Hall
2265,211,48,Kent Brockman,Springfield Town Hall
2265,139,48,Krusty the Clown,Springfield Town Hall
2265,2,48,Homer Simpson,Springfield Town Hall
2265,139,48,Krusty the Clown,Springfield Town Hall
2265,2,3766,Homer Simpson,Krusty's Limo
2265,139,3766,Krusty the Clown,Krusty's Limo
2265,2,3766,Homer Simpson,Krusty's Limo
2265,139,3766,Krusty the Clown,Krusty's Limo
2265,2,3766,Homer Simpson,Krusty's Limo
2265,139,3766,Krusty the Clown,Krusty's Limo
2265,5662,176,Military Choir,Springfield Airport
2265,2,176,Homer Simpson,Springfield Airport
2265,139,176,Krusty the Clown,Springfield Airport
2265,139,176,Krusty the Clown,Springfield Airport
2265,9,1720,Lisa Simpson,Airport Terminal
2265,5663,1720,Tsa Security Officer,Airport Terminal
2265,9,1720,Lisa Simpson,Airport Terminal
2265,5663,1720,Tsa Security Officer,Airport Terminal
2265,9,102,Lisa Simpson,Marge's Car
2265,5669,3771,Kurt Hardwick,CAMP STAGE
2266,119,1436,Ralph Wiggum,NELSON'S HOUSE
2265,5664,102,Ira Glass,Marge's Car
2265,9,102,Lisa Simpson,Marge's Car
2265,1,102,Marge Simpson,Marge's Car
2265,9,102,Lisa Simpson,Marge's Car
2265,1,102,Marge Simpson,Marge's Car
2265,1,102,Marge Simpson,Marge's Car
2265,9,102,Lisa Simpson,Marge's Car
2265,9,102,Lisa Simpson,Marge's Car
2265,1,102,Marge Simpson,Marge's Car
2265,9,102,Lisa Simpson,Marge's Car
2265,1,102,Marge Simpson,Marge's Car
2265,9,3768,Lisa Simpson,ARTS CAMP
2265,9,3768,Lisa Simpson,ARTS CAMP
2265,9,3768,Lisa Simpson,ARTS CAMP
2265,5665,3768,TEENAGE GIRL CAMPER,ARTS CAMP
2265,5666,3768,TEENAGE BOY CAMPER,ARTS CAMP
2265,5667,3768,2ND TEENAGE GIRL CAMPER,ARTS CAMP
2265,5666,3768,TEENAGE BOY CAMPER,ARTS CAMP
2265,5668,3768,Teenage Singers,ARTS CAMP
2265,9,3768,Lisa Simpson,ARTS CAMP
2265,45,418,Ethan Foley,Cabin
2265,5669,418,Kurt Hardwick,Cabin
2265,45,418,Ethan Foley,Cabin
2265,5669,418,Kurt Hardwick,Cabin
2265,45,418,Ethan Foley,Cabin
2265,5669,418,Kurt Hardwick,Cabin
2265,45,418,Ethan Foley,Cabin
2265,5669,418,Kurt Hardwick,Cabin
2265,9,418,Lisa Simpson,Cabin
2265,5669,418,Kurt Hardwick,Cabin
2265,45,418,Ethan Foley,Cabin
2265,5669,418,Kurt Hardwick,Cabin
2265,9,418,Lisa Simpson,Cabin
