              0	  16000	  15904
              1	  16088	  15872
              2	  16000	  16008
              3	  16104	  16128
              4	  16024	  15960
              5	  16128	  15912
              6	  16056	  15968
              7	  16120	  16144
              8	  16056	  15992
              9	  16168	  15856
             10	  16056	  15920
             11	  16176	  16112
             12	  16080	  16088
             13	  16224	  16008
             14	  16128	  16088
             15	  16192	  16336
             16	  16160	  16304
             17	  16240	  16152
             18	  16192	  16200
             19	  16208	  16456
             20	  16240	  16456
             21	  16256	  16264
             22	  16264	  16200
             23	  16232	  16312
             24	  16304	  16328
             25	  16248	  16224
             26	  16336	  16048
             27	  16248	  16168
             28	  16336	  16280
             29	  16256	  16008
             30	  16352	  15808
             31	  16272	  15920
             32	  16344	  16008
             33	  16304	  15880
             34	  16376	  15728
             35	  16344	  15856
             36	  16336	  15992
             37	  16376	  15960
             38	  16360	  15704
             39	  16408	  15840
             40	  16320	  16000
             41	  16440	  16000
             42	  16368	  15776
             43	  16456	  15664
             44	  16368	  15728
             45	  16464	  16136
             46	  16464	  16632
             47	  16448	  17632
             48	  16496	  19024
             49	  16432	  20504
             50	  16552	  21656
             51	  16440	  22256
             52	  16568	  21160
             53	  16464	  18600
             54	  16576	  16536
             55	  16496	  15536
             56	  16560	  15528
             57	  16504	  15872
             58	  16560	  15856
             59	  16584	  15768
             60	  16544	  15968
             61	  16592	  16232
             62	  16544	  16152
             63	  16656	  15952
             64	  16552	  15968
             65	  16648	  16192
             66	  16560	  16080
             67	  16696	  15928
             68	  16576	  15944
             69	  16672	  16200
             70	  16632	  16192
             71	  16704	  16088
             72	  16680	  15984
             73	  16672	  16192
             74	  16720	  16248
             75	  16696	  16080
             76	  16760	  16056
             77	  16680	  16232
             78	  16776	  16352
             79	  16696	  16224
             80	  16800	  16136
             81	  16704	  16264
             82	  16792	  16416
             83	  16720	  16344
             84	  16824	  16200
             85	  16720	  16384
             86	  16792	  16536
             87	  16744	  16472
             88	  16840	  16384
             89	  16784	  16416
             90	  16808	  16768
             91	  16808	  16728
             92	  16840	  16584
             93	  16808	  16664
             94	  16776	  16888
             95	  16864	  16944
             96	  16816	  16800
             97	  16872	  16904
             98	  16784	  17080
             99	  16896	  17288
            100	  16832	  17272
            101	  16920	  17280
            102	  16832	  17512
            103	  16928	  17720
            104	  16856	  17696
            105	  16928	  17712
            106	  16880	  17960
            107	  16896	  18128
            108	  16896	  18104
            109	  16920	  18048
            110	  16920	  18200
            111	  16896	  18440
            112	  16944	  18296
            113	  16928	  17960
            114	  16984	  17912
            115	  16912	  17928
            116	  17008	  17680
            117	  16936	  17264
            118	  17016	  17008
            119	  16904	  17024
            120	  17040	  16864
            121	  16960	  16512
            122	  17032	  16368
            123	  16944	  16352
            124	  17040	  16384
            125	  16992	  16104
            126	  17064	  15976
            127	  17016	  16120
            128	  17056	  16168
            129	  17064	  15992
            130	  17064	  15824
            131	  17080	  15896
            132	  17048	  16072
            133	  17128	  15960
            134	  17064	  15792
            135	  17160	  15832
            136	  17040	  16064
            137	  17176	  16008
            138	  17088	  15760
            139	  17184	  15784
            140	  17080	  16024
            141	  17216	  15952
            142	  17144	  15784
            143	  17200	  15840
            144	  17136	  15992
            145	  17208	  16008
            146	  17200	  15792
            147	  17192	  15800
            148	  17200	  15992
            149	  17184	  16016
            150	  17264	  15800
            151	  17200	  15752
            152	  17272	  15928
            153	  17184	  16072
            154	  17304	  15896
            155	  17184	  15752
            156	  17304	  15824
            157	  17184	  16056
            158	  17320	  15888
            159	  17232	  15760
            160	  17320	  15872
            161	  17208	  16048
            162	  17312	  15944
            163	  17272	  15792
            164	  17296	  15800
            165	  17280	  15976
            166	  17280	  15952
            167	  17352	  15784
            168	  17256	  15760
            169	  17336	  15904
            170	  17264	  15984
            171	  17408	  15768
            172	  17264	  15672
            173	  17384	  15880
            174	  17288	  15920
            175	  17416	  15776
            176	  17312	  15680
